timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:52:02Z,2,1320,0
2025-07-05T02:52:03Z,1,1250,0
2025-07-05T02:52:04Z,2,1250,0
2025-07-05T02:52:05Z,2,1250,0
2025-07-05T02:52:06Z,1,1250,0
2025-07-05T02:52:07Z,2,1240,0
2025-07-05T02:52:08Z,1,1250,0
2025-07-05T02:52:09Z,2,1240,0
2025-07-05T02:52:10Z,2,1240,0
2025-07-05T02:52:11Z,2,1240,0
2025-07-05T02:52:12Z,1,1240,0
2025-07-05T02:52:13Z,1,1250,0
2025-07-05T02:52:14Z,0,1150,0
2025-07-05T02:52:15Z,1,1000,0
2025-07-05T02:52:16Z,2,0,0
2025-07-05T02:52:17Z,2,0,0
2025-07-05T02:52:18Z,2,0,0
2025-07-05T02:52:19Z,1,280,0
2025-07-05T02:52:20Z,3,460,0
2025-07-05T02:52:21Z,0,580,0
2025-07-05T02:52:22Z,2,760,0
2025-07-05T02:52:23Z,3,990,0
2025-07-05T02:52:24Z,1,1050,0
2025-07-05T02:52:25Z,0,1000,0
